cell,timestamp,category,description
M1-A-s4-rechnung,2026-08-02T10:50:54+02:00,IMPORT/SYNTAX,fixed malformed static import org.assertj.org.assertj.core.api.Assertions.assertThat -> org.assertj.core.api.Assertions.assertThat; the only compile error in the extracted artifact
M2-B-s2-kunden,2026-08-02T11:11:42+02:00,IMPORT/SYNTAX,added missing import org.springframework.http.ResponseEntity; unresolved in 6 places
M2-B-s2-kunden,2026-08-02T11:11:42+02:00,IMPORT/SYNTAX,added missing import org.mockito.ArgumentCaptor; unresolved in 2 places
M2-B-s2-kunden,2026-08-02T11:12:13+02:00,IMPORT/SYNTAX,ResponseEntity.getStatusCodeValue() removed in Spring Framework 7 (Boot 4); replaced 6 call sites with getStatusCode().value()
M2-A-s1-werkstattservice,2026-08-02T11:13:00+02:00,IMPORT/SYNTAX,added missing import at.werkstatt.crm.service.WerkstattService (the class under test was never imported)
M2-A-s1-werkstattservice,2026-08-02T11:13:10+02:00,IMPORT/SYNTAX,Date ambiguous between the java.sql.* and java.util.* wildcard imports in getAlleFahrzeuge test; qualified as java.sql.Date
M2-A-s1-werkstattservice,2026-08-02T11:13:30+02:00,MOCKING-SETUP,neuerAuftrag: chained thenReturn mixed Integer and Long on one queryForObject overload; split into an Integer max stub and a Long insert stub and stubbed the trailing getAuftrag query
M2-A-s1-werkstattservice,2026-08-02T11:13:45+02:00,MOCKING-SETUP,erstelleRechnung amounts: chained thenReturn on query() mixed List/int/long; split into per-SQL queryForObject stubs plus a two-step query stub (auftrag then positionen)
M2-A-s1-werkstattservice,2026-08-02T11:14:20+02:00,IMPORT/SYNTAX,two thenAnswer stubs assigned to a non-final local RowMapper declared outside the lambda; moved the declaration inside the lambda (getAlleFahrzeuge and getMonatsBericht tests)
M2-A-s1-werkstattservice,2026-08-02T11:14:25+02:00,IMPORT/SYNTAX,getMonatsBericht test stubs ResultSet getters but lacked throws SQLException on the method signature; added it
