cell,startedAt,endedAt,minutes
M1-A-s4-rechnung,2026-08-02T10:49:00+02:00,2026-08-02T10:51:45+02:00,2.8
M2-A-s1-werkstattservice,2026-08-02T10:49:01+02:00,2026-08-02T11:17:07+02:00,28.1
M2-A-s2-auftrag,2026-08-02T10:48:59+02:00,2026-08-02T11:13:42+02:00,24.7
M2-A-s3-admin,2026-08-02T10:48:59+02:00,2026-08-02T11:14:20+02:00,25.4
M2-A-s4-rechnung,2026-08-02T10:49:00+02:00,2026-08-02T10:50:31+02:00,1.5
M2-B-s1-werkstattservice,2026-08-02T10:49:00+02:00,2026-08-02T10:58:25+02:00,9.4
M2-B-s2-auftrag,2026-08-02T10:50:46+02:00,2026-08-02T11:16:03+02:00,25.3
M2-B-s2-kunden,2026-08-02T10:52:09+02:00,2026-08-02T11:12:47+02:00,20.6
M2-B-s2-rechnung,2026-08-02T10:59:02+02:00,2026-08-02T11:12:04+02:00,13.0
M2-B-s3-admin,2026-08-02T11:12:28+02:00,2026-08-02T11:13:52+02:00,1.4
M2-B-s4-rechnung,2026-08-02T11:13:18+02:00,2026-08-02T11:15:05+02:00,1.8
